id,key,value,type
15567671,reviewed,no,tiger
15567671,separated,no,tiger
15567671,upload_uuid,bulk_upload.pl-7f894399-8a33-4d32-b935-71e3702fd95f,tiger
15567858,access,private,regular
15567858,highway,service,regular
15567858,cfcc,A74,tiger
15567858,tlid,49993215,tiger
15567858,county,Lewis,addr
15567858,state,WV,addr
15567858,source,tiger_import_dch_v0.6_20070828,tiger
15567858,reviewed,no,tiger
15567858,upload_uuid,bulk_upload.pl-7f894399-8a33-4d32-b935-71e3702fd95f,tiger
15568020,name,Kelly's Creek Road,regular
15568020,name_1,County Route 7,regular
15568020,name_2,Rocky Fork,regular
15568020,highway,tertiary,regular
15568020,cfcc,A41,tiger
15568020,county,Kanawha,addr
15568020,state,WV,addr
15568020,reviewed,no,tiger
15568020,name_base,Kelly's Creek,tiger
15568020,name_type,Rd,tiger
15568020,name_base_1,County Route 7,tiger
15568020,name_base_2,Rocky Fork,tiger
15568144,name,Gabber Lane,regular
15568144,highway,residential,regular
15568144,cfcc,A41,tiger
15568144,county,Kanawha,addr
15568144,state,WV,addr
15568144,reviewed,no,tiger
15568144,name_base,Gabber,tiger
15568144,name_type,Ln,tiger
15568300,name,Happy Hollow Road,regular
15568300,name_1,County Route 21/5,regular
15568300,highway,residential,regular
15568300,cfcc,A41,tiger
15568300,county,Kanawha,addr
15568300,state,WV,addr
15568300,reviewed,no,tiger
15568300,postcode,25320,addr
15568300,name_base,Happy Hollow,tiger
15568300,name_type,Rd,tiger
15568300,postcode,25320,addr
15568300,name_base_1,County Route 21/5,tiger
15568431,name,Tacket Boulevard,regular
15568431,highway,service,regular
15568431,cfcc,A41,tiger
15568431,county,Kanawha,addr
15568431,state,WV,addr
15568431,reviewed,no,tiger
15568431,postcode,25309,addr
15568431,name_base,Tacket,tiger
15568431,name_type,Blvd,tiger
15568573,name,Post Office Drive,regular
15568573,highway,service,regular
15568573,service,alley,regular
15568716,name,Mountain View Drive,regular
15568716,highway,residential,regular
15568716,cfcc,A41,tiger
15568716,county,Lewis,addr
15568716,state,WV,addr
15568716,reviewed,no,tiger
15568716,name_base,Mountain View,tiger
15568716,name_type,Dr,tiger
15568870,name,Jones Avenue,regular
15568870,highway,residential,regular
15568870,cfcc,A41,tiger
15568870,county,Kanawha,addr
15568870,state,WV,addr
15568870,reviewed,no,tiger
15568870,name_base,Jones,tiger
15568870,name_type,Ave,tiger
15569011,name,Dudley Drive,regular
15569011,highway,residential,regular
15569011,cfcc,A41,tiger
15569011,county,Kanawha,addr
15569011,state,WV,addr
15569011,reviewed,no,tiger
15569011,postcode,25311,addr
15569011,name_base,Dudley,tiger
15569011,name_type,Dr,tiger
15569011,postcode,25311,addr
15569169,name,Cedar Lane,regular
15569169,highway,residential,regular
15569169,cfcc,A41,tiger
15569169,county,Kanawha,addr
15569169,state,WV,addr
15569169,reviewed,no,tiger
15569169,postcode,25071,addr
15569169,name_base,Cedar,tiger
15569169,name_type,Ln,tiger
15569169,postcode,25071,addr
15569318,name,Cannady Drive,regular
15569318,highway,unclassified,regular
15569318,cfcc,A41,tiger
15569318,county,Kanawha,addr
15569318,state,WV,addr
15569318,reviewed,no,tiger
15569318,name_base,Cannady,tiger
15569318,name_type,Dr,tiger
15569483,name,High Avenue,regular
15569483,highway,residential,regular
15569483,cfcc,A41,tiger
15569483,county,Lewis,addr
15569483,state,WV,addr
15569483,reviewed,no,tiger
15569483,postcode,26452,addr
15569483,name_base,High,tiger
15569483,name_type,Ave,tiger
15569483,postcode,26452,addr
15569628,ref,US 19,regular
15569628,lanes,2,regular
15569628,highway,primary,regular
15569628,cfcc,A21,tiger
15569628,county,Lewis,addr
15569628,state,WV,addr
15569628,reviewed,no,tiger
15569628,name_base,United States Highway 19,tiger
15569773,name,Grandview Drive,regular
15569773,highway,residential,regular
15569773,cfcc,A41,tiger
15569773,county,Kanawha,addr
15569773,state,WV,addr
15569773,reviewed,no,tiger
15569773,postcode,25177,addr
15569773,name_base,Grandview,tiger
15569773,name_type,Dr,tiger
15569773,postcode,25177,addr
15569773,postcode,25177,addr
15569773,postcode,25177,addr
15569979,name,Coal River Subdivision,regular
15569979,gauge,1435,regular
15569979,usage,branch,regular
15569979,railway,rail,regular
15569979,operator,CSX,regular
15569979,cfcc,B11:B12:B21,tiger
15569979,electrified,no,regular
15569979,county,Lincoln,addr
15569979,county,Logan,addr
15569979,county,Kanawha,addr
15569979,county,Boone,addr
15569979,state,WV,addr
15569979,reviewed,no,tiger
15569979,name_base,Chesapeake and Ohio Railway:Chessie System Railroad,tiger
15569979,old_railway_operator,C&O,regular
15570125,highway,residential,regular
15570125,cfcc,A41,tiger
15570125,tlid,78734236:78734237:78729220:78732170:78729562:78734234,tiger
15570125,county,Lincoln,addr
15570125,state,WV,addr
15570125,source,tiger_import_dch_v0.6_20070828,tiger
15570125,reviewed,no,tiger
15570125,separated,no,tiger
15570125,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15570254,name,County Route 27/1,regular
15570254,name_1,Kellys Creek,regular
15570254,highway,unclassified,regular
15570254,cfcc,A41,tiger
15570254,county,Kanawha,addr
15570254,state,WV,addr
15570254,reviewed,no,tiger
15570254,name_base,County Route 27/1,tiger
15570254,name_base_1,Kellys Creek,tiger
15570380,access,private,regular
15570380,highway,service,regular
15570380,cfcc,A74,tiger
15570380,tlid,78726474:78726475,tiger
15570380,county,Lincoln,addr
15570380,state,WV,addr
15570380,source,tiger_import_dch_v0.6_20070828,tiger
15570380,reviewed,no,tiger
15570380,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15570497,highway,residential,regular
15570497,cfcc,A41,tiger
15570497,tlid,78726611,tiger
15570497,county,Lincoln,addr
15570497,state,WV,addr
15570497,source,tiger_import_dch_v0.6_20070828,tiger
15570497,reviewed,no,tiger
15570497,separated,no,tiger
15570497,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15570625,highway,residential,regular
15570625,cfcc,A41,tiger
15570625,tlid,78725758,tiger
15570625,county,Lincoln,addr
15570625,state,WV,addr
15570625,source,tiger_import_dch_v0.6_20070828,tiger
15570625,reviewed,no,tiger
15570625,separated,no,tiger
15570625,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15570768,name,Kingswood Lane,regular
15570768,highway,residential,regular
15570768,cfcc,A41,tiger
15570768,county,Kanawha,addr
15570768,state,WV,addr
15570768,reviewed,no,tiger
15570768,postcode,25313,addr
15570768,name_base,Kingswood,tiger
15570768,name_type,Ln,tiger
15570768,postcode,25313,addr
15570890,name,John Wesley Drive,regular
15570890,highway,residential,regular
15570890,cfcc,A41,tiger
15570890,county,Kanawha,addr
15570890,state,WV,addr
15570890,reviewed,no,tiger
15570890,postcode,25302,addr
15570890,name_base,John Wesley,tiger
15570890,name_type,Dr,tiger
15570890,postcode,25302,addr
15571057,highway,residential,regular
15571057,cfcc,A41,tiger
15571057,tlid,78732131:78728171,tiger
15571057,county,Lincoln,addr
15571057,state,WV,addr
15571057,source,tiger_import_dch_v0.6_20070828,tiger
15571057,reviewed,no,tiger
15571057,separated,no,tiger
15571057,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15571192,name,Bank Street,regular
15571192,highway,residential,regular
15571192,cfcc,A41,tiger
15571192,county,Kanawha,addr
15571192,state,WV,addr
15571192,reviewed,no,tiger
15571192,postcode,25143,addr
15571192,name_base,Bank,tiger
15571192,name_type,St,tiger
15571192,postcode,25143,addr
15571334,highway,track,regular
15571334,cfcc,A51,tiger
15571334,tlid,78726988:78727284:78727274,tiger
15571334,county,Lincoln,addr
15571334,state,WV,addr
15571334,source,tiger_import_dch_v0.6_20070828,tiger
15571334,reviewed,no,tiger
15571334,separated,no,tiger
15571334,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15571447,name,Lincoln Avenue,regular
15571447,highway,residential,regular
15571447,cfcc,A41,tiger
15571447,county,Kanawha,addr
15571447,state,WV,addr
15571447,reviewed,no,tiger
15571447,postcode,25064,addr
15571447,name_base,Lincoln,tiger
15571447,name_type,Ave,tiger
15571447,postcode,25064,addr
15571568,name,Forest Edge Drive,regular
15571568,highway,residential,regular
15571568,cfcc,A41,tiger
15571568,county,Kanawha,addr
15571568,state,WV,addr
15571568,reviewed,no,tiger
15571568,name_base,Forest Edge,tiger
15571568,name_type,Dr,tiger
15571691,name,25th Street,regular
15571691,highway,residential,regular
15571691,cfcc,A41,tiger
15571691,county,Kanawha,addr
15571691,state,WV,addr
15571691,reviewed,no,tiger
15571691,postcode,25064,addr
15571691,name_base,25th,tiger
15571691,name_type,St,tiger
15571819,name,Verna Drive,regular
15571819,highway,residential,regular
15571819,cfcc,A41,tiger
15571819,county,Kanawha,addr
15571819,state,WV,addr
15571819,reviewed,no,tiger
15571819,postcode,25071,addr
15571819,name_base,Verna,tiger
15571819,name_type,Dr,tiger
15571819,postcode,25071,addr
15571947,access,private,regular
15571947,highway,service,regular
15571947,cfcc,A74,tiger
15571947,tlid,78733914:78733915,tiger
15571947,county,Lincoln,addr
15571947,state,WV,addr
15571947,source,tiger_import_dch_v0.6_20070828,tiger
15571947,reviewed,no,tiger
15571947,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15572065,name,27th Street,regular
15572065,highway,residential,regular
15572065,cfcc,A41,tiger
15572065,county,Kanawha,addr
15572065,state,WV,addr
15572065,reviewed,no,tiger
15572065,postcode,25143,addr
15572065,name_base,27th,tiger
15572065,name_type,St,tiger
15572065,postcode,25143,addr
15572194,highway,residential,regular
15572194,cfcc,A41,tiger
15572194,tlid,78735319,tiger
15572194,county,Lincoln,addr
15572194,state,WV,addr
15572194,source,tiger_import_dch_v0.6_20070828,tiger
15572194,reviewed,no,tiger
15572194,separated,no,tiger
15572194,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15572328,name,28th Street,regular
15572328,highway,residential,regular
15572328,cfcc,A41,tiger
15572328,county,Kanawha,addr
15572328,state,WV,addr
15572328,reviewed,no,tiger
15572328,postcode,25064,addr
15572328,name_base,28th,tiger
15572328,name_type,St,tiger
15572328,postcode,25064,addr
15572467,name,Russel Road,regular
15572467,name_1,Browns Creek Road,regular
15572467,name_2,Cort 1,regular
15572467,highway,unclassified,regular
15572467,cfcc,A41,tiger
15572467,county,Kanawha,addr
15572467,state,WV,addr
15572467,reviewed,no,tiger
15572467,postcode,25177,addr
15572467,name_base,Russel,tiger
15572467,name_type,Rd,tiger
15572467,postcode,25177,addr
15572467,name_base_1,Browns Creek,tiger
15572467,name_base_2,Cort 1,tiger
15572467,name_type_1,Rd,tiger
15572606,access,private,regular
15572606,highway,service,regular
15572606,cfcc,A74,tiger
15572606,tlid,78735210,tiger
15572606,county,Lincoln,addr
15572606,state,WV,addr
15572606,source,tiger_import_dch_v0.6_20070828,tiger
15572606,reviewed,no,tiger
15572606,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15572743,highway,residential,regular
15572743,cfcc,A41,tiger
15572743,county,Lincoln,addr
15572743,state,WV,addr
15572743,reviewed,no,tiger
15572864,access,private,regular
15572864,highway,service,regular
15572864,cfcc,A74,tiger
15572864,tlid,78735056,tiger
15572864,county,Lincoln,addr
15572864,state,WV,addr
15572864,source,tiger_import_dch_v0.6_20070828,tiger
15572864,reviewed,no,tiger
15572864,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15572983,name,Jarvis Street,regular
15572983,highway,residential,regular
15572983,cfcc,A41,tiger
15572983,county,Kanawha,addr
15572983,state,WV,addr
15572983,reviewed,no,tiger
15572983,postcode,25302,addr
15572983,name_base,Jarvis,tiger
15572983,name_type,St,tiger
15572983,postcode,25302,addr
15573111,name,County Route 19/1,regular
15573111,name_1,Dog Fork,regular
15573111,highway,residential,regular
15573111,cfcc,A41,tiger
15573111,tlid,78580244:78580071,tiger
15573111,county,Kanawha,addr
15573111,state,WV,addr
15573111,source,tiger_import_dch_v0.6_20070828,tiger
15573111,reviewed,no,tiger
15573111,name_base,County Route 19/1,tiger
15573111,separated,no,tiger
15573111,name_base_1,Dog Fork,tiger
15573111,upload_uuid,bulk_upload.pl-d03d713e-792d-4535-937c-7a8069c06fe5,tiger
15573230,name,Victoria Lane,regular
15573230,highway,residential,regular
15573230,cfcc,A41,tiger
15573230,county,Kanawha,addr
15573230,state,WV,addr
15573230,reviewed,no,tiger
15573230,name_base,Victoria,tiger
15573230,name_type,Ln,tiger
15573356,name,Turner Road,regular
15573356,name_1,County Route 47/9,regular
15573356,name_2,County Route 47/5,regular
15573356,highway,residential,regular
15573356,cfcc,A41,tiger
15573356,county,Kanawha,addr
15573356,state,WV,addr
15573356,reviewed,no,tiger
15573356,postcode,25071,addr
15573356,name_base,Turner,tiger
15573356,name_type,Rd,tiger
15573356,postcode,25071,addr
15573356,name_base_1,County Route 47/9,tiger
15573356,name_base_2,County Route 47/5,tiger
15573489,access,private,regular
15573489,highway,service,regular
15573489,cfcc,A74,tiger
15573489,tlid,78728370,tiger
15573489,county,Lincoln,addr
15573489,state,WV,addr
15573489,source,tiger_import_dch_v0.6_20070828,tiger
15573489,reviewed,no,tiger
15573489,upload_uuid,bulk_upload.pl-eb87004d-1b2e-4a0d-8a1e-718bc3c2a4e4,tiger
15573619,ref,WV 10,regular
15573619,lanes,2,regular
15573619,highway,primary,regular
15573619,cfcc,A31,tiger
15573619,county,Lincoln,addr
15573619,county,Cabell,addr
15573619,state,WV,addr
15573619,reviewed,no,tiger
15573619,postcode,25504,addr
15573619,name_base,State Route 10,tiger
15573619,postcode,25504,addr
15573619,postcode,25504,addr
15573749,name,James Street,regular
15573749,highway,residential,regular
15573749,cfcc,A41,tiger
15573749,county,Kanawha,addr
15573749,state,WV,addr
15573749,reviewed,no,tiger
15573749,postcode,25312,addr
15573749,name_base,James,tiger
15573749,name_type,St,tiger
15573749,postcode,25312,addr
15573880,name,Early Street,regular
15573880,highway,residential,regular
15573880,cfcc,A41,tiger
15573880,county,Kanawha,addr
15573880,state,WV,addr
15573880,reviewed,no,tiger
15573880,postcode,25136,addr
15573880,name_base,Early,tiger
15573880,name_type,St,tiger
15573880,postcode,25136,addr
15574002,name,Harless Frk Road,regular
15574002,name_1,Mug Hollow Road,regular
15574002,highway,residential,regular
15574002,cfcc,A41,tiger
15574002,county,Lincoln,addr
15574002,state,WV,addr
15574002,reviewed,no,tiger
15574002,name_base,Harless Frk,tiger
15574002,name_type,Rd,tiger
15574002,name_base_1,Mug Hollow,tiger
15574002,name_type_1,Rd,tiger
15574127,name,Cascade Brooks Road,regular
15574127,name_1,Cascade Bridge,regular
15574127,name_2,Upper Malus Branch Road,regular
15574127,name_3,Mollie Branch Road,regular
15574127,highway,unclassified,regular
15574127,cfcc,A41,tiger
15574127,county,Lincoln,addr
15574127,state,WV,addr
15574127,reviewed,no,tiger
15574127,postcode,25003,addr
15574127,name_base,Cascade Brooks,tiger
15574127,name_type,Rd,tiger
15574127,postcode,25003,addr
15574127,name_base_1,Cascade,tiger
15574127,name_base_2,Upper Malus Branch,tiger
15574127,name_base_3,Mollie Branch,tiger
15574127,name_type_1,Br,tiger
15574127,name_type_2,Rd,tiger
15574127,name_type_3,Rd,tiger
15574241,name,Baker Street,regular
15574241,highway,residential,regular
15574241,cfcc,A41,tiger
15574241,county,Lincoln,addr
15574241,state,WV,addr
15574241,reviewed,no,tiger
15574241,postcode,25523,addr
15574241,name_base,Baker,tiger
15574241,name_type,St,tiger
15574354,name,Willow Street,regular
15574354,highway,residential,regular
15574354,cfcc,A41,tiger
15574354,county,Kanawha,addr
15574354,state,WV,addr
15574354,reviewed,no,tiger
15574354,postcode,25045,addr
15574354,name_base,Willow,tiger
15574354,name_type,St,tiger
15574354,postcode,25045,addr
15574476,name,Hareless Road,regular
15574476,highway,residential,regular
15574476,cfcc,A41,tiger
15574476,county,Kanawha,addr
15574476,state,WV,addr
15574476,reviewed,no,tiger
15574476,name_base,Hareless,tiger
15574476,name_type,Rd,tiger
15574589,name,Thorne Road,regular
15574589,highway,residential,regular
15574589,cfcc,A41,tiger
15574589,county,Kanawha,addr
15574589,state,WV,addr
15574589,reviewed,no,tiger
15574589,postcode,25303,addr
15574589,name_base,Thorne,tiger
15574589,name_type,Rd,tiger
15574589,postcode,25303,addr
15574711,name,Atlas Road,regular
15574711,highway,residential,regular
15574711,cfcc,A41,tiger
15574711,county,Kanawha,addr
15574711,state,WV,addr
15574711,reviewed,no,tiger
15574711,name_base,Atlas,tiger
15574825,name,Virginia Street West,regular
15574825,highway,residential,regular
15574825,cfcc,A41,tiger
15574825,county,Lincoln,addr
15574825,state,WV,addr
15574825,reviewed,no,tiger
15574825,name_base,Virginia,tiger
15574825,name_type,St,tiger
15574825,name_direction_suffix,W,tiger
15574948,name,Pine Wood Road,regular
15574948,highway,unclassified,regular
15574948,surface,unpaved,regular
15574948,cfcc,A41,tiger
15574948,county,Kanawha,addr
15574948,state,WV,addr
15574948,reviewed,no,tiger
15574948,name_base,Pine Wood,tiger
15574948,name_type,Rd,tiger
15575067,name,Left Fork,regular
15575067,name_1,Left Fork Flat Creek Road,regular
15575067,name_2,County Highway 58/3,regular
15575067,highway,residential,regular
15575067,cfcc,A41,tiger
15575067,county,Lincoln,addr
15575067,state,WV,addr
15575067,reviewed,no,tiger
15575067,postcode,25501,addr
15575067,name_base,Left Fork,tiger
15575067,name_base_1,Left Fork Flat Creek,tiger
15575067,name_base_2,County Highway 58/3,tiger
15575067,name_type_1,Rd,tiger
15575201,name,Pine Street,regular
15575201,highway,residential,regular
15575201,cfcc,A41,tiger
15575201,county,Kanawha,addr
15575201,state,WV,addr
15575201,reviewed,no,tiger
15575201,name_base,Pine,tiger
15575201,name_type,St,tiger
15575327,name,Sam's Branch Road,regular
15575327,name_1,County Highway 3/4,regular
15575327,highway,residential,regular
15575327,cfcc,A41,tiger
15575327,county,Lincoln,addr
15575327,state,WV,addr
15575327,reviewed,no,tiger
15575327,name_base,Sams Branch,tiger
15575327,name_type,Rd,tiger
15575327,name_base_1,County Highway 3/4,tiger
15575460,name,Queensbury Lane,regular
15575460,highway,residential,regular
15575460,cfcc,A41,tiger
15575460,county,Kanawha,addr
15575460,state,WV,addr
15575460,reviewed,no,tiger
15575460,postcode,25313,addr
15575460,name_base,Queensbury,tiger
15575460,name_type,Ln,tiger
15575460,postcode,25313,addr
15575580,name,Mount Overest Road,regular
15575580,highway,residential,regular
15575580,cfcc,A41,tiger
15575580,county,Kanawha,addr
15575580,state,WV,addr
15575580,reviewed,no,tiger
15575580,name_base,Mount Overest,tiger
15575580,name_type,Rd,tiger
15575692,name,Holley Drive,regular
15575692,highway,residential,regular
15575692,cfcc,A41,tiger
15575692,county,Kanawha,addr
15575692,state,WV,addr
15575692,reviewed,no,tiger
15575692,postcode,25143,addr
15575692,name_base,Holley,tiger
15575692,name_type,Dr,tiger
15575692,postcode,25143,addr
15575814,name,County Route 60/6,regular
15575814,name_1,Malden Drive,regular
15575814,highway,tertiary,regular
15575814,surface,asphalt,regular
15575939,name,1 Damron Place,regular
15575939,access,private,regular
15575939,highway,residential,regular
15575939,surface,gravel,regular
15575939,cfcc,A74,tiger
15575939,county,Kanawha,addr
15575939,state,WV,addr
15575939,reviewed,no,tiger
15575939,name_base,One Damron,tiger
15575939,name_type,Pl,tiger
15576063,name,Marianna Street,regular
15576063,highway,residential,regular
15576063,cfcc,A41,tiger
15576063,county,Kanawha,addr
15576063,state,WV,addr
15576063,postcode,25302,addr
15576063,name_base,Marianna,tiger
15576063,name_type,St,tiger
15576063,postcode,25302,addr
15576189,name,Sheridan Drive,regular
15576189,highway,residential,regular
15576189,cfcc,A41,tiger
15576189,county,Kanawha,addr
15576189,state,WV,addr
15576189,reviewed,no,tiger
15576189,postcode,25177,addr
15576189,name_base,Sheridan,tiger
15576189,name_type,Dr,tiger
15576189,postcode,25177,addr
15576334,name,County Highway 701/47,regular
15576334,highway,residential,regular
15576334,cfcc,A41,tiger
15576334,tlid,78772498,tiger
15576334,county,Logan,addr
15576334,state,WV,addr
15576334,source,tiger_import_dch_v0.6_20070828,tiger
15576334,reviewed,no,tiger
15576334,name_base,County Highway 701/47,tiger
15576334,separated,no,tiger
15576334,upload_uuid,bulk_upload.pl-2df1638a-ae09-42b7-93b5-fcec47ece4ce,tiger
15576475,highway,residential,regular
15576475,cfcc,A41,tiger
15576475,tlid,78763242,tiger
15576475,county,Logan,addr
15576475,state,WV,addr
15576475,source,tiger_import_dch_v0.6_20070828,tiger
15576475,reviewed,no,tiger
15576475,separated,no,tiger
15576475,upload_uuid,bulk_upload.pl-2df1638a-ae09-42b7-93b5-fcec47ece4ce,tiger
15576647,name,St Charles Place,regular
15576647,highway,residential,regular
15576647,cfcc,A41,tiger
15576647,county,Kanawha,addr
15576647,state,WV,addr
15576647,reviewed,no,tiger
15576647,name_base,St Charles,tiger
15576647,name_type,Pl,tiger
15576791,name,Monroe Avenue,regular
15576791,highway,residential,regular
15576791,cfcc,A41,tiger
15576791,tlid,78585438:78585340:78585303:78585311:78585331:78585412,tiger
15576791,county,Kanawha,addr
